date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:16	246146/246146	---MC-	200	added ('OK')	application/force-download	etag:731ec65b0e5eb4d3904e0f43a945ed51	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:17	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:02%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem8/cs402/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem8/cs402/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:17	223942/223942	---MC-	200	added ('OK')	application/force-download	etag:c119f39fe59b830bf57935e404534efc	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lch0.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lch0.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:17	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:03%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem8/hm402/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem8/hm402/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:17	253/253	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:03%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/mtech/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/mtech/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:17	287456/287456	---MC-	200	added ('OK')	application/force-download	etag:3161fa45b599ff9ea992b4679c6dd2f9	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc1.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc1.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:18	299932/299932	---MC-	200	added ('OK')	application/force-download	etag:19105e1d84da32fffc880b0d06f9654e	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc2.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc2.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:18	263/263	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:03%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/mtech/admission/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/mtech/admission/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:18	285787/285787	---MC-	200	added ('OK')	application/force-download	etag:be7985c6b5259c0f124104617da6e374	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc3.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc3.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:18	273706/273706	---MC-	200	added ('OK')	application/force-download	etag:140c515acbcc80edfc93590fa2f43101	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc4.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc4.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:18	238672/238672	---MC-	200	added ('OK')	application/force-download	etag:2596eb09e38f01d42e56624b9d0df49e	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc5.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc5.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:19	314674/314674	---MC-	200	added ('OK')	application/force-download	etag:e9ef3abb4f1b796ed36e10a399c1b4aa	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc6.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc6.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:19	264/264	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:05%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/mtech/curriculum/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/mtech/curriculum/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:19	393592/393592	---MC-	200	added ('OK')	application/force-download	etag:fc872db6e53e7287914c30a9fb4d9033	https://www.nitt.edu/home/students/facilitiesnservices/lhc/lhc7.jpg	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/lhc7.jpg	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:19	0/-1	---M--	302	error ('')			https://www.nitt.edu/academics/departments	D:/nit/nit/www.nitt.edu/academics/departments.6d8.delayed	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
